track_name,artist,album
From Time,Drake,Nothing Was The Same
Marvins Room,Drake,Take Care (Deluxe)
Right My Wrongs,Bryson Tiller,T R A P S O U L
Exchange,Bryson Tiller,T R A P S O U L
Passionfruit,Drake,More Life
Honesty,Pink Sweat$,Volume 1
Mutual Butterflies,Ryan Trey,august
Die For You,The Weeknd,Starboy
True Colors,The Weeknd,Starboy
Doing It Wrong,Drake,Take Care (Deluxe)
Poison,Brent Faiyaz,Poison
Belong to You,Sabrina Claudio,About Time
My Ex,PnB Rock,TrapStar Turnt PopStar
Somethin Tells Me,Bryson Tiller,True to Self
Love Songs,Kaash Paige,Sunset Vibes
Temptations,Ryan Trey,august
Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,Tha Carter V
iKnow,ThatsHymn,Pacific Standard Time
Teenage Fever,Drake,More Life
Club Paradise,Drake,Care Package
Girls Love Beyoncé (feat. James Fauntleroy),Drake,Care Package
Get You (feat. Kali Uchis),Daniel Caesar,Freudian
CPR,Summer Walker,Last Day Of Summer
FREAK IN YOU,PARTYNEXTDOOR,COLOURS 2
Perfecto,Mac Miller,Swimming
THE NEWS,PARTYNEXTDOOR,PARTYMOBILE
SWV (with NO1-NOAH),Summer Walker,Life On Earth - EP
Finesse,Drake,Scorpion
Just Might (with PARTYNEXTDOOR),Summer Walker,Over It
Like I Want You,GIVĒON,TAKE TIME
Don't,Bryson Tiller,T R A P S O U L
PROM/KING,Saba,CARE FOR ME
Treat Me Like Somebody,Tink,Winter's Diary 2: Forever Yours
For the First Time,Mac DeMarco,This Old Dog
Redbone,Childish Gambino,"""Awaken, My Love!"""
Get Along Better,Drake,Certified Lover Boy
ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR
Earned It (Fifty Shades Of Grey),The Weeknd,Beauty Behind The Madness
Still the Same,Autumn!,"Golden Child, Chapter 3"
Girls Need Love,Summer Walker,Last Day Of Summer
Dark Red,Steve Lacy,Dark Red
Kevin’s Heart,J. Cole,KOD
Infrunami,Steve Lacy,The Lo-Fis
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy
Intro,J. Cole,2014 Forest Hills Drive
THINGS & SUCH,PARTYNEXTDOOR,PARTYPACK
Lovers Rock,TV Girl,French Exit
Will He,Joji,In Tongues (Deluxe)
Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You
The Sequence,Bryson Tiller,T R A P S O U L
Glimpse of Us,Joji,SMITHEREENS
Remember Me,UMI,Remember Me
Eve,Avenoir,Eve
Someone To Spend Time With,Los Retros,Someone To Spend Time With
Shameless,Avenoir,Shameless
Sooner Than Later,Drake,So Far Gone
I Don't Know You,The Marías,"Superclean, Vol. I"
Cariño,The Marías,"Superclean, Vol. II"
You Might Be Sleeping,Jakob,Bedroom Tapes
july 16th,GIVĒON,Give Or Take
Distance,Tory Lanez,PLAYBOY
SPLIT DECISION,PARTYNEXTDOOR,PARTYMOBILE
Who Hurt You?,Daniel Caesar,Who Hurt You?
Lost Ones,J. Cole,Cole World: The Sideline Story
Once an Addict - Interlude,J. Cole,KOD
Un-thinkable (I'm Ready) (feat. Drake) - Remix,Alicia Keys,Un-thinkable (I'm Ready) (feat. Drake) [Remix]
N 2 Deep,Drake,Certified Lover Boy
Looking Out for You,Joy Again,Looking Out for You
Streetcar,Daniel Caesar,Pilgrim's Paradise
Congratulations (feat. Bilal),Mac Miller,The Divine Feminine
Oakland Interlude,Chris Patrick,X-Files
Bria's Interlude (feat. Omarion),Drake,So Far Gone
Do Not Disturb,Drake,More Life
Paris Morton Music,Drake,Care Package
Cameras / Good Ones Go Interlude - Medley,Drake,Take Care (Deluxe)
Self Control,Frank Ocean,Blonde
The Hills,The Weeknd,Beauty Behind The Madness
Dark Times,The Weeknd,Beauty Behind The Madness
Scarred,GIVĒON,Give Or Take
Get To You,GIVĒON,Give Or Take
Unholy Matrimony,GIVĒON,Give Or Take
Belong to the City,PARTYNEXTDOOR,PARTYNEXTDOOR TWO
TBH,PARTYNEXTDOOR,PARTYNEXTDOOR
The Weekend,SZA,Ctrl
BRACKETS,J. Cole,KOD
Wicked Games,The Weeknd,Wicked Games
Yebba’s Heartbreak,Drake,Certified Lover Boy
TMW,Avenoir,TMW
DSN,Brent Faiyaz,DSN - Single
Favorite Mistake,GIVĒON,When It's All Said And Done... Take Time
Jaded,Drake,Scorpion
Since Way Back,Drake,More Life
Die For You,Joji,SMITHEREENS
What You Need,The Weeknd,House Of Balloons (Original)
Coming Down,The Weeknd,House Of Balloons (Original)
Rolling Stone,The Weeknd,Trilogy
03’ Adolescence,J. Cole,2014 Forest Hills Drive
"Escapism (feat. AJ Michalka, Zach Callison & Grace Rolek)",Steven Universe,"Steven Universe, Vol. 2 (Original Soundtrack)"
Still Think About You,A Boogie Wit da Hoodie,Artist
Opposites Attract (Tomorrow W/O Her),Kendrick Lamar,Overly Dedicated
John Redcorn,SiR,Chasing Summer
One Way!,Autumn!,Antagonist!
20191012 Fooled By Love,Mac DeMarco,One Wayne G
My Shit,A Boogie Wit da Hoodie,Artist
Jungle,A Boogie Wit da Hoodie,Artist
Loose,Daniel Caesar,Freudian
Mrs Magic,Strawberry Guy,Mrs Magic
