track_name,artist,album,track_id
P.S. I LOVE YOU,Paul Partohap,P.S. I LOVE YOU,5K3mMpiWtKvCplBl7ov4Q9
Let You Break My Heart Again - Live,Laufey,The Reykjavík Sessions,1BwUH7WAF6xfThHXH5ATdC
From Time,Drake,Nothing Was The Same,0GaBIpyHvytM1UBYmqXu08
Marvins Room,Drake,Take Care (Deluxe),047fCsbO4NdmwCBn8pcUXl
Right My Wrongs,Bryson Tiller,T R A P S O U L,5rgrBsAFYMun6yhtnLKRPz
Exchange,Bryson Tiller,T R A P S O U L,43PuMrRfbyyuz4QpZ3oAwN
Passionfruit,Drake,More Life,5mCPDVBb16L4XQwDdbRUpz
Honesty,Pink Sweat$,Volume 1,4K5d58UkmjqNsA7kY43jgt
Mutual Butterflies,Ryan Trey,august,531MBHrtGF6nAkK4zUafi9
Die For You,The Weeknd,Starboy,2Ch7LmS7r2Gy2kc64wv3Bz
True Colors,The Weeknd,Starboy,1oGdVdYjeQvojGKDddxLQQ
Doing It Wrong,Drake,Take Care (Deluxe),4eSGSqP2TZvvX0kadZZttM
Poison,Brent Faiyaz,Poison,5NijSs5dAwaIybq1GaRTIe
Belong to You,Sabrina Claudio,About Time,0MDYvPEc9CFp2vkth6eoOQ
My Ex,PnB Rock,TrapStar Turnt PopStar,3DkSirQyz93TaxZ0f0DloI
Somethin Tells Me,Bryson Tiller,True to Self,3Jrs7cC2OJNlNSy9VnDOMZ
Love Songs,Kaash Paige,Sunset Vibes,32fYtF5gsf67Bsb6ETk7u7
Temptations,Ryan Trey,august,5nD5d1zQz091zgnIHbvgUD
Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,Tha Carter V,5IvdLxVB8gwwcgnEkXSSW2
iKnow,ThatsHymn,Pacific Standard Time,7zWMwDL7YYWg3RTgFgxSqF
Teenage Fever,Drake,More Life,6n3HGiq4v35D6eFOSwqYuo
Club Paradise,Drake,Care Package,6MR5IBSNfDmiwnrlQpVw4w
Girls Love Beyoncé (feat. James Fauntleroy),Drake,Care Package,56NDFbD0tCUawnqeU2wcvv
Get You (feat. Kali Uchis),Daniel Caesar,Freudian,2uP6t2J5MEwhr9rDkAAzwh
CPR,Summer Walker,Last Day Of Summer,5Tp4UJvnsF4Zd05k0zXUte
FREAK IN YOU,PARTYNEXTDOOR,COLOURS 2,2oFQ85hieHT8pvPDjqZR1W
Perfecto,Mac Miller,Swimming,0Xcy81PsJCOO6mhLZaQyQ4
THE NEWS,PARTYNEXTDOOR,PARTYMOBILE,4SINLKyKC7s6RAWKGB7mMt
